date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1900-05-27,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-27,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-28,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-28,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-29,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-29,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-30,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-05-30,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-05-31,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-31,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-01,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-06-01,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-06-02,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-02,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-03,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-03,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-04,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-04,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-05,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-05,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-06,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-06,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-07,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-06-07,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-06-08,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-06-08,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-06-09,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-09,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-06-10,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-10,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-06-11,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-11,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-06-12,CHELTENHAM,51.895,-2.08,Heavy Rain,,Sunny
1900-06-12,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Sunny
1900-06-13,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-06-13,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-06-14,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-06-14,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-06-15,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-06-15,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Partially Overcast
1900-06-16,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-16,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-17,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-17,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-18,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-18,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-19,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-19,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-20,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-06-20,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Partially Overcast
1900-06-21,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-06-21,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-06-22,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-06-22,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-06-23,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-06-23,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-06-24,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-06-24,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-06-25,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-06-25,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-06-26,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-26,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-27,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-27,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-28,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-06-28,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-06-29,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-06-29,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-06-30,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-06-30,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-07-01,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-07-01,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-07-02,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-02,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-03,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-07-03,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-07-04,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-04,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-05,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-05,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-06,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-06,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-07,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-07,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-08,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-07-08,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-07-09,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-09,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-10,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-10,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-11,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-11,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-12,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-12,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-13,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-07-13,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-07-14,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-14,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-15,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-15,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-16,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-07-16,CHELTENHAM,51.895,-2.08,Drizzle,Hot,Sunny
1900-07-17,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-17,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-18,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-18,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-19,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-19,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-20,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-07-20,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-07-21,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-21,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-22,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-22,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-23,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-23,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-24,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-24,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-25,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-25,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-26,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-26,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-07-27,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-07-27,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-07-28,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-28,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-29,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-07-29,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-07-30,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-07-30,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-07-31,CHELTENHAM,51.895,-2.08,Heavy Rain,,Sunny
1900-07-31,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Sunny
1900-08-01,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-01,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-02,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-08-02,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-08-03,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-08-03,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-08-04,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-08-04,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Partially Overcast
1900-08-05,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-08-05,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Partially Overcast
1900-08-06,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-08-06,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-08-07,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-08-07,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Partially Overcast
1900-08-08,CHELTENHAM,51.895,-2.08,Heavy Rain,,Partially Overcast
1900-08-08,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Partially Overcast
1900-08-09,CHELTENHAM,51.895,-2.08,Heavy Rain,,Sunny
1900-08-09,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Sunny
1900-08-10,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-10,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-11,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-11,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-12,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-12,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-08-13,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-13,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-08-14,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-14,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-15,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-15,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-16,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-16,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-17,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-17,CHELTENHAM,51.895,-2.08,Dry,Hot,Sunny
1900-08-18,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-18,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-19,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-19,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-20,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-20,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-21,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-08-21,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-08-22,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-08-22,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-08-23,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-08-23,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-08-24,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-08-24,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-08-25,CHELTENHAM,51.895,-2.08,Heavy Rain,,Partially Overcast
1900-08-25,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Partially Overcast
1900-08-26,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-08-26,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-08-27,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-08-27,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-08-28,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-08-28,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-08-29,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-08-29,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-08-30,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-08-30,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-08-31,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-08-31,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Partially Overcast
1900-09-01,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-09-01,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-09-02,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-02,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-03,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-03,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-04,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-04,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-05,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-05,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-06,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-06,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-07,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-07,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-08,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-09-08,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-09-09,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-09,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-10,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-10,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-11,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-11,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-12,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-12,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-13,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-13,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-14,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-14,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-15,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-15,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-16,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-16,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-09-17,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-09-17,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-09-18,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-09-18,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-09-19,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-09-19,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
